"grid_m","n_cells","max_dist_km","true_speed","dr_mean","dr_sd","dr_bias_pct","bd_mean","bd_sd","frac_p_lt_05","province_crossed_within_record"
1000,1039662,1123.1,1,1.00161443269034,0.000433381168226154,0.161443269033867,0.998964738931635,0.00276671934728995,1,FALSE
1000,1039662,1123.1,2,2.00141048265454,0.000292791935066468,0.0705241327268125,1.99796394200074,0.00162863431890549,1,FALSE
1000,1039662,1123.1,5,5.00114505300529,0.000165820693248039,0.022901060105891,4.99887715361146,0.000381612431609826,1,FALSE
1000,1039662,1123.1,10,10.0020747528694,0.000158119042800665,0.0207475286944359,9.9990093226405,0.000212255064120608,1,FALSE
1000,1039662,1123.1,20,20.0009951310187,0.00044096562852776,0.00497565509354203,19.9634288573112,0.00116645259716234,1,TRUE
1000,1039662,1123.1,50,49.993884114635,0.00267368757053562,-0.0122317707300539,49.6188792680044,0.00718909223504099,1,TRUE
1000,1039662,1123.1,100,99.9497680186425,0.0110645214673577,-0.0502319813575411,96.5426287099436,0.0232367923373614,1,TRUE
2000,259928,1122.7,1,1.00022355497684,0.000853320816536496,0.0223554976836571,1.00162664406776,0.00325256975920981,1,FALSE
2000,259928,1122.7,2,2.00137302511472,0.000546755766787746,0.0686512557360741,1.99766545686041,0.00209899978905811,1,FALSE
2000,259928,1122.7,5,5.00031516316833,0.000372521805726984,0.00630326336661824,4.99877937287233,0.000954832744043635,1,FALSE
2000,259928,1122.7,10,10.002366057547,0.000352357222758634,0.023660575470501,9.9982270417603,0.000386687551180894,1,FALSE
2000,259928,1122.7,20,20.0022584254342,0.000903382915693457,0.0112921271710675,19.9621739863069,0.00498710548309636,1,TRUE
2000,259928,1122.7,50,49.9946029435622,0.0058234180280334,-0.0107941128756011,49.6140403949135,0.0141557079499411,1,TRUE
2000,259928,1122.7,100,99.9537841127669,0.0231764670996009,-0.0462158872330747,96.5095299382936,0.0499073507091303,1,TRUE
5000,41586,1120.4,1,1.00088655386763,0.00272726388045346,0.0886553867634365,1.00537244758676,0.00523871983252721,1,FALSE
5000,41586,1120.4,2,2.00232268670013,0.00136888430512777,0.116134335006279,2.0071267529453,0.00327558930143698,1,FALSE
5000,41586,1120.4,5,5.0005529240481,0.000904503997475268,0.0110584809619674,4.99717130368817,0.00211150261928678,1,FALSE
5000,41586,1120.4,10,10.0051068386015,0.000896959672984947,0.0510683860147587,9.99904984438856,0.00164787340042527,1,FALSE
5000,41586,1120.4,20,20.007511376219,0.00216783973212549,0.0375568810951066,19.9681789332457,0.0171723567252563,1,TRUE
5000,41586,1120.4,50,49.9986648472255,0.0121971301394619,-0.00267030554890368,49.5688651571045,0.0361348267660132,1,TRUE
5000,41586,1120.4,100,99.9586712384493,0.0527384617117759,-0.0413287615507301,96.4632226040867,0.142231768347034,1,TRUE
12000,7218,1116.5,1,0.994380498002349,0.0052501879286683,-0.561950199765104,0.997792292310872,0.011492548104132,1,FALSE
12000,7218,1116.5,2,1.99124275121127,0.00318863745016719,-0.43786243943652,1.99785395123755,0.00714336018539635,1,FALSE
12000,7218,1116.5,5,4.99500124417688,0.0019994809844041,-0.0999751164623675,5.02190206506374,0.00377234018467259,1,FALSE
12000,7218,1116.5,10,10.0022976971878,0.00216727349115318,0.022976971878208,10.0206644338674,0.0064954096482014,1,FALSE
12000,7218,1116.5,20,20.0037204379464,0.00515000017688612,0.0186021897322242,19.9675227218101,0.0135739377521757,1,TRUE
12000,7218,1116.5,50,50.0035542297942,0.03369335731237,0.0071084595883093,49.5647744921068,0.165669408149977,1,TRUE
12000,7218,1116.5,100,99.9685030157141,0.152283391519733,-0.0314969842858659,96.9685506932038,1.22215372687623,1,TRUE
