"true_speed","arrival_sd_years","block_km","n_blocks","n_cells","speed_mean","speed_bias_pct","se_naive","se_blocked","design_effect","effective_n"
5,2,50,144,41586,5.07357026477053,1.47140529541069,0.00029621432016278,0.00148929130543324,5.02774918044077,1645.12893702037
5,2,100,44,41586,5.03942306725389,0.788461345077813,0.000316269291972954,0.00200367251502592,6.33533689763741,1036.11442513247
5,2,200,14,41586,5.04825527834199,0.965105566839721,0.0003071138225922,0.00238656086513874,7.77093276035228,688.65363930367
5,5,50,156,41586,5.29814321284027,5.96286425680546,0.000724669969952356,0.00367674330199488,5.07367968102308,1615.47803980314
5,5,100,46,41586,5.31517735420664,6.30354708413272,0.000730837137988365,0.00498717622148173,6.82392281707108,893.05650282732
5,5,200,14,41586,5.28064566416599,5.61291328331972,0.00071542598239948,0.00687359886164436,9.60770090931122,450.513904531841
10,2,50,376,41586,10.0688832176003,0.688832176002823,8.86150319013865e-05,0.000481858613703451,5.43766224944407,1406.44480062839
10,2,100,105,41586,10.061390832686,0.613908326859924,8.86512065116074e-05,0.000616851216309056,6.95818185202353,858.925704039292
10,2,200,32,41586,10.0928520872333,0.928520872332825,8.91107966131846e-05,0.00071072528623025,7.97574831830303,653.738808678374
10,5,50,387,41586,10.3914133338805,3.91413333880516,0.000219461127719805,0.00118818972310612,5.41412383801806,1418.70068613832
10,5,100,108,41586,10.4715621878572,4.71562187857156,0.000216015773228335,0.00156227639543425,7.23223296190911,795.064450116402
10,5,200,34,41586,10.4291157147261,4.29115714726054,0.000217450416211815,0.00185833048537941,8.5459964517577,569.405598507991
20,2,50,471,41586,20.0223594819539,0.111797409769476,5.91080612180369e-05,0.000317668444963857,5.37436752987121,1439.76769219035
20,2,100,133,41586,20.050677135637,0.253385678184781,5.84356627295134e-05,0.000387758903074533,6.63565509420828,944.451238760693
20,2,200,42,41586,19.9347070893279,-0.326464553360584,5.8765063468671e-05,0.000431908906044615,7.34975648030866,769.841376943015
20,5,50,471,41586,20.1089711751365,0.544855875682337,0.000143931463427273,0.000738137659501268,5.12839682113175,1581.18943768661
20,5,100,134,41586,20.1929799977869,0.964899988934285,0.000144460955693181,0.00100335789165334,6.94552993117644,862.057778280683
20,5,200,42,41586,20.0774335474573,0.38716773728634,0.000144857666119857,0.00108057553918427,7.459567506011,747.342795562203
50,2,50,473,41586,50.7627013168678,1.52540263373554,5.84082338670866e-05,0.000299957766647907,5.13553906338769,1576.79442292716
50,2,100,133,41586,50.5086878442002,1.01737568840046,5.7624557745334e-05,0.000390887681418575,6.7833523885088,903.77097899804
50,2,200,42,41586,50.0740885369406,0.148177073881186,5.80487855463668e-05,0.000477172774885102,8.22020254849186,615.434887311811
50,5,50,472,41586,54.090304292973,8.18060858594602,0.000136776403293588,0.000685742049166932,5.01359907596781,1654.42828317852
50,5,100,133,41586,53.8743536236753,7.74870724735058,0.000136039807587872,0.000926739329612805,6.81226580693449,896.115477919153
50,5,200,42,41586,53.4898259861179,6.9796519722357,0.000137081409949849,0.00102131037515634,7.4503929856717,749.184506004783
